_id,name_comp,vid_oper,contr_terr,uchastie,contr_numb,admin_edin,contr_srok,id,example_field1,example_field2
6566e2213e7a16b38ea1d296,"ТОО ""BSG OIL""",Добыча (подготовительный период сроком на один год до 15.12.2023г.),Месторождение Каратюбе, \nАЙДАРОВ БАГЛАН БАКЫТЖАНОВИЧ,5145-УВС от 15.12.2022,Актюбинская область,15.12.2047,147,,
6566e2213e7a16b38ea1d297,"АО ""КазАзот""",Разведка и добыча,Участок Мурынсор,"ТОО ""Kazakhstan Petrochemicals""                                                              Аблазимов Б. Н. ",5164-УВС от 07.02.2023,Мангистауская область,07.02.2029,148,,
6566e2213e7a16b38ea1d298,"ТОО ""КДЛ Компани""",Разведка и добыча,Месторождение Караоба, \nАПЕНОВ КУАНЫШ БЕРИКОВИЧ;,5165-УВС от 07.02.2023,Мангистауская область,07.02.2029,149,,
6566e2213e7a16b38ea1d299,"ТОО ""Tabys Operating """,Разведка и добыча,"на месторождении Тамдыколь расположенном в пределах блоков XXI-16-F (частично), 17-D (частично), Е (частично), F (частично)", \nКРАСНОВА ИННА ВАСИЛЬЕВНА;\nБУРМИСТРОВ ИГОРЬ ВИКТОРОВИЧ;\nАНДАСПАЕВА АЙМАН АЙТБЕКОВНА;\n,398 от 20.01.2000 года,Актюбинская область,07.09.2023г.,15,,
6566e2213e7a16b38ea1d29a,"ТОО ""Petro Energy Group""",Разведка и добыча,Участок Тасшара, \nАМАН МҰРАТ БАЙҚАДАМҰЛЫ,5166-УВС от 13.02.2023,Мангистауская область,13.02.2029,150,,
6566e2213e7a16b38ea1d29b,"ТОО ""Petro Energy Group""",Разведка и добыча,Месторождение Тасым, \nАМАН МҰРАТ БАЙҚАДАМҰЛЫ,5167-УВС от 13.02.2023,Мангистауская область,13.02.2029,151,,
6566e2213e7a16b38ea1d29c,"Компания ""Sinopec International Energy Investment Holdings Netherlands B.V.""",Разведка и добыча,Участок Сай Утес,нерезидент РК,5168-УВС от 13.02.2023,Мангистауская область,13.02.2029,152,,
6566e2213e7a16b38ea1d29d,"ТОО ""Astana Expo Trade ltd.""",Добыча,Месторождение Мортук Восточный,ВАЙЕНДЕНОВ РУСТЕМ ШУХРАТОВИЧ;,5169-УВС от 14.02.2023,Актюбинская область,14.02.2048,153,,
6566e2213e7a16b38ea1d29e,"ТОО ""Энергия Трейдинг""",Разведка и добыча,Месторождение Каменистое,ХЛЕБНИКОВ ОЛЕГ ВЛАДИСЛАВОВИЧ;,5172-УВС от 15.02.2023,Мангистауская область,15.02.2029,154,,
6566e2213e7a16b38ea1d29f,"ТОО ""Kenzhaly Petroleum""",Разведка и добыча,Участок Кержалы,МЫРЗАХМЕТОВ АЛТАЙ ИСАБЕКОВИЧ;\nМАХМУДОВ МАКСАТ РАСБЕРГЕНОВИЧ;\nЕСАЛИЕВ ДАСТАН ТАНАТАРОВИЧ;\nМАЙЛЫБАЕВ РАСУЛБЕК МАРАТОВИЧ;\nЕЛЕКБАЕВА АЙГУЛЬ ЖАНЫБЕКОВНА;,5173-УВС от 16.02.2023,Актюбинская область,16.02.2029,155,,
6566e2213e7a16b38ea1d2a0,"ТОО ""KG Oil &Gas",Разведка и добыча,Участок Балдысай,БАЛЖИГИТОВ ТЕЛЖАН КАПАНОВИЧ;\nМАХМУДОВ РАСБЕРГЕН АЛПЫСБАЕВИЧ;\nКАЛДЫБАЕВ ЕРБОЛАТ ЖАГПАРОВИЧ;,5174-УВС от 16.02.2023,Актюбинская область,16.02.2029,156,,
6566e2213e7a16b38ea1d2a1,"ТОО ""Tradex House""",Разведка и добыча,Участок Ащысай,Копжасаров Дархан Жолдасбекович,5175-УВС от 17.02.2023,Атырауская область,17.02.2029,157,,
6566e2213e7a16b38ea1d2a2,"ТОО ""Tradex House""",Разведка и добыча,Участок Каратай,Копжасаров Дархан Жолдасбекович,5176-УВС от 17.02.2023,Атырауская область,17.02.2029,158,,
6566e2213e7a16b38ea1d2a3,"ТОО ""Gold Tengry Estate""",Разведка и добыча,Участок Сарынияз,Тлекметов Асхат Аскарбекович,5177-УВС от 17.02.2023,Атырауская область,17.02.2029,159,,
6566e2213e7a16b38ea1d2a4,"ТОО ""Емир-ойл""",Разведка и добыча,площадь Аксаз-Долинная-Емир,Paleontol B.V. (Нидерланды),482 от  09.06.2000 года,Мангистауская область,11.03.2023г.,16,,
6566e2213e7a16b38ea1d2a5,"ТОО ""Gold Tengry Estate""",Разведка и добыча,Участок Масабай,Тлекметов Асхат Аскарбекович,5178-УВС от 17.02.2023,Атырауская область,17.02.2029,160,,
6566e2213e7a16b38ea1d2a6,"ТОО ""Саутс Ойл""",Добыча,Месторождение Акшабулак Северный,"ТОО ""Финансовая Торгово-Промышленная корпорация ""Онтустик"" и АО ""Petro Asia"" ",5186-УВС от 15.03.2023,Улытауская область,15.03.2048,161,,
6566e2213e7a16b38ea1d2a7,"ТОО ""Саутс Ойл""",Добыча,Месторождение Акшабулак Западный,"ТОО ""Финансовая Торгово-Промышленная корпорация ""Онтустик"" и АО ""Petro Asia"" ",5187-УВС от 15.03.2023,Улытауская область,15.03.2048 (подготовительный период 15.03.2026),162,,
6566e2213e7a16b38ea1d2a8,"ТОО ""Саутс Ойл""",Добыча,Месторождение Бухарсай,"ТОО ""Финансовая Торгово-Промышленная корпорация ""Онтустик"" и АО ""Petro Asia"" ",5188-УВС от 15.03.2023,Улытауская и Кызылординская области,15.03.2048,163,,
